"col0","col1","col2","col3","col4","col5","col6","col7","col8","partition_0"
"cardboard","is an","insulator","of","electricity",,,,,"regents"
"lead","is an","conductor","of","electricity",,,,,"regents"
"rock","is an","insulator","of","electricity",,,,,"regents"
"steel","is an","conductor","of","electricity",,,,,"regents"
"HUMAN ACTIVITY","","ENVIRONMENTAL HARM","",,,,,,"regents"
"breathing","is","harmless","to the environment",,,,,,"regents"
"growing","is","harmless","to the environment",,,,,,"regents"
"planting","is","harmless","to the environment",,,,,,"regents"
"polluting","is","harmful","to the environment",,,,,,"regents"
"swimming in a lake","is","harmless","to the environment",,,,,,"regents"
"riding a bicycle","is","harmless","to the environment",,,,,,"regents"
"cutting down a rain forest","is","harmful","to the environment",,,,,,"regents"
"using solar energy","is","harmless","to the environment",,,,,,"regents"
"air poisoning","is","harmful","to the environment",,,,,,"regents"
"air pollution","is","harmful","to the environment",,,,,,"regents"
"animals","is","helpful","to the environment",,,,,,"regents"
"assisted colonization","is","helpful","to the environment",,,,,,"regents"
"bees","is","helpful","to the environment",,,,,,"regents"
"biodiversity loss","is","harmful","to the environment",,,,,,"regents"
"birds","is","helpful","to the environment",,,,,,"regents"
"water flow systems","is","helpful","to the environment",,,,,,"regents"
"building roads","is","harmful","to the environment",,,,,,"regents"
"building roads and cities","is","harmful","to the environment",,,,,,"regents"
"burning forests","is","harmful","to the environment",,,,,,"regents"
"burning fossil fuels","is","harmful","to the environment",,,,,,"regents"
"burning leaves","is","harmful","to the environment",,,,,,"regents"
"burrowing animals","is","helpful","to the environment",,,,,,"regents"
"butterflies","is","helpful","to the environment",,,,,,"regents"
"changing climate","is","harmful","to the environment",,,,,,"regents"
"cigarettes","is","harmful","to the environment",,,,,,"regents"
"cities","is","harmful","to the environment",,,,,,"regents"
"clearance of surrounding rainforests","is","harmful","to the environment",,,,,,"regents"
"climate change","is","harmful","to the environment",,,,,,"regents"
"commercial poaching","is","harmful","to the environment",,,,,,"regents"
"cutting down forests","is","harmful","to the environment",,,,,,"regents"
"large dams","is","harmful","to the environment",,,,,,"regents"
"decomposers","is","helpful","to the environment",,,,,,"regents"
"deforestation","is","harmful","to the environment",,,,,,"regents"
"destroying the rain forests","is","harmful","to the environment",,,,,,"regents"
"destruction of the ozone layer","is","harmful","to the environment",,,,,,"regents"
"drainage of swamps","is","harmful","to the environment",,,,,,"regents"
"eliminating foreign species","is","helpful","to the environment",,,,,,"regents"
"erosion","is","harmful","to the environment",,,,,,"regents"
"erosion prevention","is","helpful","to the environment",,,,,,"regents"
"eutrophication","is","harmful","to the environment",,,,,,"regents"
"evaporation","is","helpful","to the environment",,,,,,"regents"
"excess pesticide","is","harmful","to the environment",,,,,,"regents"
"farms","is","harmful","to the environment",,,,,,"regents"
"feeding migratory animals","is","harmful","to the environment",,,,,,"regents"
"fertilizers","is","harmful","to the environment",,,,,,"regents"
"flowers","is","helpful","to the environment",,,,,,"regents"
"foreign species","is","harmful","to the environment",,,,,,"regents"
"fossil fuel production and use","is","harmful","to the environment",,,,,,"regents"
"fossil fuels","is","harmful","to the environment",,,,,,"regents"
"fuel production","is","harmful","to the environment",,,,,,"regents"
"fungi","is","helpful","to the environment",,,,,,"regents"
"global warming","is","harmful","to the environment",,,,,,"regents"
"granite quarrying","is","harmful","to the environment",,,,,,"regents"
"grass","is","helpful","to the environment",,,,,,"regents"
"greenhouse effect","is","helpful","to the environment",,,,,,"regents"
"greenhouse gases","is","harmful","to the environment",,,,,,"regents"
"growing plants","is","helpful","to the environment",,,,,,"regents"
"habitat change","is","harmful","to the environment",,,,,,"regents"
"habitat destruction","is","harmful","to the environment",,,,,,"regents"
"habitat fragmentation","is","harmful","to the environment",,,,,,"regents"
"habitat loss","is","harmful","to the environment",,,,,,"regents"
"acid rain","is","harmful","to the environment",,,,,,"regents"
"heavy metals","is","harmful","to the environment",,,,,,"regents"
"human activity","is","harmful","to the environment",,,,,,"regents"
"human development","is","harmful","to the environment",,,,,,"regents"
"human interaction with ocean","is","harmful","to the environment",,,,,,"regents"
"human interaction with ocean life","is","harmful","to the environment",,,,,,"regents"
"human population","is","harmful","to the environment",,,,,,"regents"
"human population growth","is","harmful","to the environment",,,,,,"regents"
"hunting","is","harmful","to the environment",,,,,,"regents"
"hunting by farmers","is","harmful","to the environment",,,,,,"regents"
"illegal timber smuggling","is","harmful","to the environment",,,,,,"regents"
"improving agricultural practices","is","helpful","to the environment",,,,,,"regents"
"increase vegetative cover","is","helpful","to the environment",,,,,,"regents"
"infiltration","is","helpful","to the environment",,,,,,"regents"
"insect activity","is","helpful","to the environment",,,,,,"regents"
"introduced species","is","harmful","to the environment",,,,,,"regents"
"introduced species and weeds","is","harmful","to the environment",,,,,,"regents"
"introduction of foreign predators","is","harmful","to the environment",,,,,,"regents"
"introduction of soil elements into water sources","is","harmful","to the environment",,,,,,"regents"
"invasions by more competitive species","is","harmful","to the environment",,,,,,"regents"
"invasive species","is","harmful","to the environment",,,,,,"regents"
"land clearing","is","harmful","to the environment",,,,,,"regents"
"land pollution","is","harmful","to the environment",,,,,,"regents"
"large dams","is","harmful","to the environment",,,,,,"regents"
"logging","is","harmful","to the environment",,,,,,"regents"
"loss of oxygen in the water","is","harmful","to the environment",,,,,,"regents"
"nutrients","is","helpful","to the environment",,,,,,"regents"
"ocean","is","helpful","to the environment",,,,,,"regents"
"oil sand extraction","is","harmful","to the environment",,,,,,"regents"
"oil spills","is","harmful","to the environment",,,,,,"regents"
"organic matter","is","helpful","to the environment",,,,,,"regents"
"over-exploitation","is","harmful","to the environment",,,,,,"regents"
"over-harvesting","is","harmful","to the environment",,,,,,"regents"
"overfishing","is","harmful","to the environment",,,,,,"regents"
"pesticide","is","harmful","to the environment",,,,,,"regents"
"pesticides","is","harmful","to the environment",,,,,,"regents"
"pesticides are improperly used or disposed of","is","harmful","to the environment",,,,,,"regents"
"plants","is","helpful","to the environment",,,,,,"regents"
"poaching","is","harmful","to the environment",,,,,,"regents"
"poisoning","is","harmful","to the environment",,,,,,"regents"
"pollinators","is","helpful","to the environment",,,,,,"regents"
"pollutants","is","helpful","to the environment",,,,,,"regents"
"polluted waters","is","harmful","to the environment",,,,,,"regents"
"pollution","is","harmful","to the environment",,,,,,"regents"
"prevent erosion","is","helpful","to the environment",,,,,,"regents"
"protecting groundwater","is","helpful","to the environment",,,,,,"regents"
"protecting habitats","is","helpful","to the environment",,,,,,"regents"
"protecting surface water","is","helpful","to the environment",,,,,,"regents"
"receiving water sedimentation","is","harmful","to the environment",,,,,,"regents"
"reclaiming wasted land","is","helpful","to the environment",,,,,,"regents"
"recycled water","is","helpful","to the environment",,,,,,"regents"
"removal of soil","is","harmful","to the environment",,,,,,"regents"
"maintenance of road surfaces","is","helpful","to the environment",,,,,,"regents"
"roads","is","harmful","to the environment",,,,,,"regents"
"water runoff","is","harmful","to the environment",,,,,,"regents"
"salt accumulation","is","harmful","to the environment",,,,,,"regents"
"ogranic matter","is","helpful","to the environment",,,,,,"regents"
"saving rain forests","is","helpful","to the environment",,,,,,"regents"
"securing forest ecosystems","is","helpful","to the environment",,,,,,"regents"
"slow water runoff","is","helpful","to the environment",,,,,,"regents"
"soil","is","helpful","to the environment",,,,,,"regents"
"soil compaction","is","harmful","to the environment",,,,,,"regents"
"soil particles in water ","is","harmful","to the environment",,,,,,"regents"
"sunlight","is","helpful","to the environment",,,,,,"regents"
"the ozone layer","is","helpful","to the environment",,,,,,"regents"
"traditional painting materials","is","harmful","to the environment",,,,,,"regents"
"trees","is","helpful","to the environment",,,,,,"regents"
"water","is","helpful","to the environment",,,,,,"regents"
"water pollution","is","harmful","to the environment",,,,,,"regents"
"weathering","is","helpful","to the environment",,,,,,"regents"
"","Organ/Plant structure","","Input","","Output",,,,"monarch"
"A(n)","brain","take(s) in","sensory information from sight, smell, taste, and touch","and gives off","signals that tell the body what to do",,,,"monarch"
"The","thyroid","take(s) in","iodine; tyrosine","and gives off","triiodothyronine (T3); thyroxine (T4); calcitonin",,,,"monarch"
"The","eyes","take(s) in","light","and gives off","signals that tell the brain what the eye has seen",,,,"monarch"
"The","lungs","take(s) in","oxygen","and gives off","carbon dioxide",,,,"monarch"
"The","heart","take(s) in","blood","and gives off","blood",,,,"monarch"
"The","liver","take(s) in","blood","and gives off","blood that is cleansed of toxins",,,,"monarch"
"The","pancreas","take(s) in","hormones; signals from the nervous system","and gives off","insulin; digestive enzymes",,,,"monarch"
"The","stomach","take(s) in","nutrients","and gives off","digested food",,,,"monarch"
"The","spleen","take(s) in","blood","and gives off","blood that is cleansed of toxins",,,,"monarch"
"The","kidney","take(s) in","blood","and gives off","red blood cells; opsonins; properdin; tuftsin",,,,"monarch"
"The","muscle","take(s) in","fats; carbohydrates","and gives off","ATP",,,,"monarch"
"The","colon","take(s) in","nutrients; water","and gives off","feces",,,,"monarch"
"The","esophagus","take(s) in","nutrients","and gives off","nutrients",,,,"monarch"
"The","veins","take(s) in","blood","and gives off","blood",,,,"monarch"
"The","arteries","take(s) in","blood","and gives off","blood",,,,"monarch"
"The","nerves","take(s) in","electrochemical nerve impulses","and gives off","electrochemical nerve impulses",,,,"monarch"
"The","small intestine","take(s) in","food","and gives off","digested food",,,,"monarch"
"The","gills","take(s) in","water; oxygen","and gives off","carbon dioxide",,,,"monarch"
"The","roots","take(s) in","water; nutrients","and gives off","water; nutrients",,,,"monarch"
"The","stem; stalk","take(s) in","water; nutrients","and gives off","water; nutrients",,,,"monarch"
"The","chloroplast","take(s) in","water; carbon dioxide; sunlight","and gives off","oxygen; ATP; NADPH",,,,"monarch"
"The","stomata","take(s) in","water; carbon dioxide; oxygen","and gives off","water; carbon dioxide; oxygen",,,,"monarch"
"","TOOL Device for measurement","","DIMENSION Parameter the tool measures","","OBJECTS Type of object being measured","","UNIT Units the tool measures",,"regents"
"A","pan balance; balance","is used to measure the","weight","of","solids","in units of","grams; kilograms; ounces; pounds",,"regents"
"A","stopwatch","is used to measure the","time","of","events","in units of","seconds; minutes",,"regents"
"A","calendar","is used to measure the","time","of","events","in units of","days; months; years",,"regents"
"A","thermometer","is used to measure the","temperature","of","substances","in units of","Celsius; centigrade; Fahrenheit; Kelvin",,"regents"
"A","graduated cylinder","is used to measure the","volume","of","liquids","in units of","milliliters; liters; quarts; gallons",,"regents"
"A","tape measure","is used to measure the","length","of","solids","in units of","centimeters; meters; inches; feet",,"regents"
"A","odometer; odograph","is used to measure the","length","of","paths; routes","in units of","kilometers; miles",,"regents"
"A","odometer; odograph","is used to measure the","distance","of","paths; routes","in units of","kilometers; miles",,"regents"
"A","calipers","is used to measure the","length","of","solids","in units of","centimeters; meters; inches; feet",,"regents"
"A","barometer","is used to measure the","pressure","of","atmosphere","in units of","atmospheres; bars",,"regents"
"A","ruler","is used to measure the","length","of","solids","in units of","centimeters; meters; inches; feet",,"regents"
"A","scale; weighing scale","is used to measure the","weight","of","solids; liquids","in units of","grams; kilograms; ounces; pounds",,"regents"
"A","accelerometer","is used to measure the","acceleration","of","solids","in units of","meters per second squared; g-force",,"regents"
"A","calorimeter","is used to measure the","heat","of","chemical reactions; physical changes","in units of","joules per kelvin",,"regents"
"A","altimeter; altitude meter","is used to measure the","altitude","of","solids","in units of","kilometers; miles",,"regents"
"A","anemometer","is used to measure the","speed","of","wind","in units of","kilometers per hour; miles per hour",,"regents"
"A","measuring cup; measuring jug","is used to measure the","volume","of","solids; liquids","in units of","ounces; milliliters; cups",,"regents"
"A","micrometer; micrometer screw gauge","is used to measure the","length","of","solids","in units of","millimeters",,"regents"
"A","protractor","is used to measure the","angles","of","lines; surfaces","in units of","degrees; radians",,"regents"
"A","sextant","is used to measure the","angle","of","an astronomical object and the horizon","in units of","degrees",,"regents"
"A","speedometer; speed meter","is used to measure the","speed","of","vehicles","in units of","kilometers per hour; miles per hour",,"regents"
"A","tachometer; revolution-counter; tach; rev-counter; RPM gauge","is used to measure the","rotation speed","of","shafts; disks; motors","in units of","rotations per minute",,"regents"
"A","wind vane; weather vane","is used to measure the","direction","of","wind","in units of","compass degrees",,"regents"
"LHS","Relation","RHS",,,,,,,"auto"
"fungi","absorb","nutrients",,,,,,,"auto"
"fungi","absorb","nutrients",,,,,,,"auto"
"hyphae","absorb","nutrients",,,,,,,"auto"
"pigments in the plant","absorb","the sun 's energy",,,,,,,"auto"
"plants","absorb","minerals",,,,,,,"auto"
"plants","absorb","nutrients in water trough",,,,,,,"auto"
"the main function of the roots","absorb","water",,,,,,,"auto"
"the roots","absorbed","water",,,,,,,"auto"
"most decomposers","absorbing","the organic matter",,,,,,,"auto"
"a green pigment","absorbs","sunlight",,,,,,,"auto"
"an opaque object","absorbs","all the light",,,,,,,"auto"
"changes in the environment","affect","organisms",,,,,,,"auto"
"number of flights taken by a species for migration","affect","the total life span of a butterfly",,,,,,,"auto"
"climate change","affected","many migrating birds",,,,,,,"auto"
"the number of hours of daylight","affects","your emotional state",,,,,,,"auto"
"the main function of the fibrous root","anchor","the plant",,,,,,,"auto"
"decomposers","are","the organisms",,,,,,,"auto"
"a magnetic force","attract","objects to the magnet",,,,,,,"auto"
"animals","attract","mates",,,,,,,"auto"
"magnets","attract","some other metals",,,,,,,"auto"
"magnets","attract","a variety of materials that have metal or mineral components",,,,,,,"auto"
"the female","attract","a male",,,,,,,"auto"
"advertising coloration","attracts","animals",,,,,,,"auto"
"the roots of the plants","bind","the soil",,,,,,,"auto"
"bacteria","break down","dead matter",,,,,,,"auto"
"decomposers","break down","animal droppings",,,,,,,"auto"
"decomposers","break down","dead organisms",,,,,,,"auto"
"fungi","break down","the decaying material",,,,,,,"auto"
"invertebrates","break down","wastes of other organisms",,,,,,,"auto"
"microorganisms in their intestines","break down","cellulose",,,,,,,"auto"
"millipedes","break down","dead matter",,,,,,,"auto"
"most decomposers","break down","dead organisms",,,,,,,"auto"
"organisms","break down","waste such as fecal matter",,,,,,,"auto"
"other organisms","break down","dead plants",,,,,,,"auto"
"pigments in the plant","break down","water molecules",,,,,,,"auto"
"plants","break down","food much the same way as animals",,,,,,,"auto"
"scavengers","break down","dead plants",,,,,,,"auto"
"the decomposers like fungi","break down","the organic matter",,,,,,,"auto"
"the plants","break down","dead organic matter",,,,,,,"auto"
"the various micro-organisms","break down","the organic materials",,,,,,,"auto"
"they[scavengers]","break down","plants",,,,,,,"auto"
"decomposers _","breaking down","waste",,,,,,,"auto"
"tillage","breaking up","it[soil]",,,,,,,"auto"
"an organism","breaks down","the nutrients of dead organisms or wastes for food",,,,,,,"auto"
"a stream","brings","nutrients",,,,,,,"auto"
"the insect","brings","beauty",,,,,,,"auto"
"warmer air","brings","more heat",,,,,,,"auto"
"decay","broken down","their tissues",,,,,,,"auto"
"flow","brought","the water",,,,,,,"auto"
"the body","build","body parts",,,,,,,"auto"
"the engine","burn","it[smoke]",,,,,,,"auto"
"the body","burns","these nutrients",,,,,,,"auto"
"they[producers]","called","scavenger",,,,,,,"auto"
"they[producers]","called","scavenger",,,,,,,"auto"
"a moving diaphragm","capture","the sound",,,,,,,"auto"
"plants","captured","the sun",,,,,,,"auto"
"plants","carried out","the process of photosynthesis",,,,,,,"auto"
"a flash of light","carries","information",,,,,,,"auto"
"a stream","carries","materials",,,,,,,"auto"
"the steam","carries","the energy",,,,,,,"auto"
"xylem tissue","carries","nutrients",,,,,,,"auto"
"an electrical conductor","carry","electricity",,,,,,,"auto"
"living beings","carry out","respiration",,,,,,,"auto"
"deep booming sound","carry over","long distances",,,,,,,"auto"
"any gradient","carrying","soil particles",,,,,,,"auto"
"alterations","cause","modifications",,,,,,,"auto"
"excessive erosion","cause","problems such as receiving water sedimentation ecosystem damage including dead fish and outright loss of soil",,,,,,,"auto"
"rising sea levels due to climate change","cause","flooding",,,,,,,"auto"
"gravity","caused","movement",,,,,,,"auto"
"hard water based chemicals","caused","stains",,,,,,,"auto"
"mineral deposits","caused","spots",,,,,,,"auto"
"moving charges","caused","the electro-magnetic field",,,,,,,"auto"
"moving mass","caused","gravity field",,,,,,,"auto"
"the earth 's rotation","caused","the centrifugal force",,,,,,,"auto"
"acid rain","causes","erosion",,,,,,,"auto"
"gravity","causes","an attraction",,,,,,,"auto"
"gravity","causes","the ocean 's tides",,,,,,,"auto"
"heat exhaustion","causes","even fainting",,,,,,,"auto"
"resistance","causes","friction",,,,,,,"auto"
"rotation","causes","day",,,,,,,"auto"
"the magnetic field","causes","a magnetic force",,,,,,,"auto"
"many species","change","the colour of their fur plumage",,,,,,,"auto"
"other animals","change","the color of their skin",,,,,,,"auto"
"the coats of some animals","change","colour",,,,,,,"auto"
"water pollution","changed","destruction of ecosystems ecosystems",,,,,,,"auto"
"the phone on the other end","changes","the electrical energy",,,,,,,"auto"
"most window air conditioners","collect","this moisture",,,,,,,"auto"
"the leaves","collect","sunlight",,,,,,,"auto"
"liquid metal","conduct","electricity",,,,,,,"auto"
"mercury","conduct","electricity",,,,,,,"auto"
"most metals","conduct","electricity",,,,,,,"auto"
"an organism","consume","plant",,,,,,,"auto"
"another organism","consumes","the producer",,,,,,,"auto"
"cells","contain","a nucleus",,,,,,,"auto"
"chloroplasts","contain","chlorophyll",,,,,,,"auto"
"flowers","contain","female reproductive structures",,,,,,,"auto"
"green plants","contain","chlorophyll",,,,,,,"auto"
"plant cells","contain","chloroplasts",,,,,,,"auto"
"the soil","contain","energy in the forms of various chemical compounds",,,,,,,"auto"
"their leaves","contain","a pigment",,,,,,,"auto"
"they[decomposers]","contain","the nutrients",,,,,,,"auto"
"a gram of soil","contains","40 million bacterial cells",,,,,,,"auto"
"the mouth","contains","jaws",,,,,,,"auto"
"the stem","contains","most of the water",,,,,,,"auto"
"solar energy","contributes","the water cycle",,,,,,,"auto"
"humans","control","the environment",,,,,,,"auto"
"exercise","controls","weight",,,,,,,"auto"
"plants","convert","light energy",,,,,,,"auto"
"plants","convert","energy",,,,,,,"auto"
"loudspeakers","converting","incoming electrical energy",,,,,,,"auto"
"a generator","converts","mechanical energy",,,,,,,"auto"
"a microphone","converts","sound energy",,,,,,,"auto"
"a steam engine","converts","the heat energy of steam",,,,,,,"auto"
"a turbine","converts","the kinetic energy",,,,,,,"auto"
"insulated fur","covers","a warming layer of fat",,,,,,,"auto"
"algae","create","energy",,,,,,,"auto"
"plants","create","seeds",,,,,,,"auto"
"cold air passing over warmer water or moist land","created","sea smoke",,,,,,,"auto"
"the freezing of rain","created","ice pellets",,,,,,,"auto"
"gasoline","creating","high pressure on the piston",,,,,,,"auto"
"farmers","cut","forests",,,,,,,"auto"
"temperatures","damage","many types of plants",,,,,,,"auto"
"enzymes","decompose","dead plants",,,,,,,"auto"
"fungi","decompose","organic matter",,,,,,,"auto"
"water","delivers","nutrients",,,,,,,"auto"
"the genes","determined","a person 's eye color",,,,,,,"auto"
"ducks","developed","webbed feet",,,,,,,"auto"
"omnivore","devours","the plant",,,,,,,"auto"
"millions of animals","die","every year",,,,,,,"auto"
"the nuts","disappeared","the winter",,,,,,,"auto"
"a rock","displaces","the volume of liquid",,,,,,,"auto"
"heat from the sun or a dry wind","dissipate","the fog",,,,,,,"auto"
"water","drains","toxins",,,,,,,"auto"
"humans","drive","their[humans] muscles",,,,,,,"auto"
"the energy from the sun","driven","the water cycle",,,,,,,"auto"
"the moon","driven","tidal energy",,,,,,,"auto"
"the sun","drives","evaporation of water",,,,,,,"auto"
"animals","eat","plants",,,,,,,"auto"
"animals","eat","food",,,,,,,"auto"
"box turtles","eat","a variety of foods",,,,,,,"auto"
"earthworms","eat","dead plants",,,,,,,"auto"
"many living organisms","eat","other living things such as plants and animals",,,,,,,"auto"
"organisms","eat","animals",,,,,,,"auto"
"organisms","eat","another organism",,,,,,,"auto"
"other animals","eat","the animals",,,,,,,"auto"
"rabbits","eat","a lot of food",,,,,,,"auto"
"snapping turtles","eat","other types of food such as beef",,,,,,,"auto"
"snapping turtles","eat","fish",,,,,,,"auto"
"squirrels","eat","a variety of foods including acorns various nuts and pinecones",,,,,,,"auto"
"the animals","eat","the plants",,,,,,,"auto"
"the animals","eat","plants",,,,,,,"auto"
"carnivores","eaten","herbivores",,,,,,,"auto"
"herbivores","eaten","plants",,,,,,,"auto"
"they[decomposers]","eating","dead and decaying materials",,,,,,,"auto"
"a predator","eats","the herbivore",,,,,,,"auto"
"an animal","eats","other animals",,,,,,,"auto"
"an organism","eats","both plants",,,,,,,"auto"
"every animal","eats","some kind of organism",,,,,,,"auto"
"the animal","eats","the plant",,,,,,,"auto"
"seasonal variations in the color of the fur","ensure","camouflage",,,,,,,"auto"
"water","eroded","soil",,,,,,,"auto"
"ruminants","extract","food energy",,,,,,,"auto"
"the purpose of a plants roots","extract","water",,,,,,,"auto"
"the trees","extract","the essential nutrient nitrogen",,,,,,,"auto"
"the earth","face","the sun",,,,,,,"auto"
"only half of the earth","faces","the sun",,,,,,,"auto"
"the side of the earth","faces","the sun",,,,,,,"auto"
"people","find","food",,,,,,,"auto"
"smell","find","food",,,,,,,"auto"
"rising sea levels due to climate change","flooding","these habitats",,,,,,,"auto"
"the bacteria on earth","form","a biomass",,,,,,,"auto"
"the tiny little drops","form","clouds",,,,,,,"auto"
"vapor","form","clouds",,,,,,,"auto"
"the layered freezing of water into ice in a strong thunderstorm","formed","hail",,,,,,,"auto"
"the rain","forms","puddles",,,,,,,"auto"
"some animals like squirrels mice and beavers","gather","extra food",,,,,,,"auto"
"the sun","generate","more energy",,,,,,,"auto"
"a good way","get","irritants",,,,,,,"auto"
"all organisms","get","energy from food",,,,,,,"auto"
"animals","get","their oxygen",,,,,,,"auto"
"animals","get","the energy",,,,,,,"auto"
"animals","get","their energy",,,,,,,"auto"
"decomposers","get","the nutrients",,,,,,,"auto"
"green plants","get","the energy",,,,,,,"auto"
"most plants","get","their energy",,,,,,,"auto"
"organisms","get","food",,,,,,,"auto"
"those plants","get","their energy",,,,,,,"auto"
"gravity","gives","weight",,,,,,,"auto"
"the environment","gives","food",,,,,,,"auto"
"the sun","gives","the energy",,,,,,,"auto"
"a fox","grow","fur",,,,,,,"auto"
"all bears","grow","thicker fur",,,,,,,"auto"
"all the living organisms","grow","old",,,,,,,"auto"
"certain plants","grow","seeds",,,,,,,"auto"
"dogs","grow","thicker winter coats",,,,,,,"auto"
"few polar bears","grow","thicker fur",,,,,,,"auto"
"many animals","grow","warm winter coats",,,,,,,"auto"
"seeds","grow","more plants",,,,,,,"auto"
"the plants","grow","taller",,,,,,,"auto"
"some animals","growing","warm winter coats",,,,,,,"auto"
"the dog","grown","its[undercoat] thicker winter coat",,,,,,,"auto"
"one butterfly","had","a life expectancy of about 2 days",,,,,,,"auto"
"bacteria","harm","plants",,,,,,,"auto"
"humans","harmed","the environment",,,,,,,"auto"
"plants","harvest","solar energy",,,,,,,"auto"
"a bear","has","a good sense of smell",,,,,,,"auto"
"an average butterfly species","has","an adult life span of 2 weeks or less",,,,,,,"auto"
"arctic fox","has","such keen hearing",,,,,,,"auto"
"his vine garden plant","has","bright white and bluish purple flowers",,,,,,,"auto"
"matter","has","mass",,,,,,,"auto"
"other human activities like cutting down forests land clearing even building roads and cities","has","harmful effects",,,,,,,"auto"
"the oil","has","a higher boiling point than water",,,,,,,"auto"
"all the green plants","have","chlorophyll",,,,,,,"auto"
"all types of pollution","have","an impact on the living environment",,,,,,,"auto"
"flowering plants","have","embryos",,,,,,,"auto"
"green plants","have","chloroplasts",,,,,,,"auto"
"humans","have","several eye color genes",,,,,,,"auto"
"large animals","have","thicker fur",,,,,,,"auto"
"living organisms","have","some form of respiration",,,,,,,"auto"
"living things","have","the power of movement",,,,,,,"auto"
"many northern species of butterflies","have","a total life span of around a year",,,,,,,"auto"
"pesticides","have","some direct harmful effect",,,,,,,"auto"
"polar bears","have","very thick fur",,,,,,,"auto"
"snowy owls","have","yellow eyes",,,,,,,"auto"
"the fishes","have","scales",,,,,,,"auto"
"the passion flower seeds","have","a very hard coating shell",,,,,,,"auto"
"the incoming meteorite","heated","the surrounding air",,,,,,,"auto"
"jaws","hold","food",,,,,,,"auto"
"tillage","increases","wind erosion rates",,,,,,,"auto"
"a puppy","inherit","spotted fur",,,,,,,"auto"
"every animal","inherits","from both parents",,,,,,,"auto"
"40 f","injure","your plants",,,,,,,"auto"
"mechanical motion","involving","mechanical energy",,,,,,,"auto"
"a fungus such as this mushroom","is","a decomposer of dead plants",,,,,,,"auto"
"a wire","is","an electrical conductor",,,,,,,"auto"
"organism","is","another term for a living thing",,,,,,,"auto"
"photosynthesis","is","a vital process",,,,,,,"auto"
"the arctic fox","is","an animal",,,,,,,"auto"
"the sun","is","the primary source for the water cycle",,,,,,,"auto"
"it[death]","kills","life",,,,,,,"auto"
"frogs","lay","eggs",,,,,,,"auto"
"each magnet","lift","the metal object",,,,,,,"auto"
"most adult butterflies","live","only one or two weeks",,,,,,,"auto"
"one butterfly","live","10 days",,,,,,,"auto"
"deciduous plants","lose","their leaves",,,,,,,"auto"
"humans","maintain","good health",,,,,,,"auto"
"regular exercise","maintain","good health",,,,,,,"auto"
"a green substance in plants called chlorophyll traps the energy from the sun","make","food",,,,,,,"auto"
"a mother hen","make","a certain clucking to her chicks",,,,,,,"auto"
"a plant","make","food",,,,,,,"auto"
"chlorophyll","make","food",,,,,,,"auto"
"electronic devices","make","sounds",,,,,,,"auto"
"green plants","make","their own food",,,,,,,"auto"
"green plants","make","food",,,,,,,"auto"
"plants","make","food",,,,,,,"auto"
"plants","make","food",,,,,,,"auto"
"plants","make","atp",,,,,,,"auto"
"plants","make","sugar",,,,,,,"auto"
"plants","make","their own food",,,,,,,"auto"
"plants","make","food",,,,,,,"auto"
"plants","make","food",,,,,,,"auto"
"plants","make","food",,,,,,,"auto"
"plants","make","their own food",,,,,,,"auto"
"rabbits","make","great pets",,,,,,,"auto"
"many bones","make up","the foot",,,,,,,"auto"
"the plant","makes","a sugar molecule",,,,,,,"auto"
"the plant","making","its[plant] own food",,,,,,,"auto"
"most plants","manufacture","food",,,,,,,"auto"
"plants","manufacture","food",,,,,,,"auto"
"the main purpose of a meter stick","measure","length of an object",,,,,,,"auto"
"the use of spring balances","measure","the mass of objects",,,,,,,"auto"
"other decomposer bacteria","metabolize","inorganic solids",,,,,,,"auto"
"all animals","need","air food",,,,,,,"auto"
"all living organisms","need","a proper habitat",,,,,,,"auto"
"all organisms","need","a source of energy",,,,,,,"auto"
"all plants","need","sunlight",,,,,,,"auto"
"animals","need","food",,,,,,,"auto"
"animals","need","a safe home",,,,,,,"auto"
"animals","need","oxygen",,,,,,,"auto"
"animals","need","protein",,,,,,,"auto"
"humans","need","a minimum intake of food energy",,,,,,,"auto"
"humans","need","sunlight",,,,,,,"auto"
"humans","need","a variety of healthy foods exercise and rest",,,,,,,"auto"
"living things","need","energy",,,,,,,"auto"
"many plants","need","the help of fungi",,,,,,,"auto"
"plants","need","h2o",,,,,,,"auto"
"plants","need","non-living things",,,,,,,"auto"
"plants","need","air",,,,,,,"auto"
"plants","need","sunlight",,,,,,,"auto"
"plants","need","nutrients",,,,,,,"auto"
"some plants","need","more sunlight than others",,,,,,,"auto"
"they[decomposers]","need","the nutrients",,,,,,,"auto"
"a plant","needs","water",,,,,,,"auto"
"it[body]","needs","the nutrients",,,,,,,"auto"
"the plant","needs","water",,,,,,,"auto"
"the plant","needs","energy",,,,,,,"auto"
"the tree","nourishes","the apple",,,,,,,"auto"
"decomposers _","obtain","_ nutrients",,,,,,,"auto"
"the moon","orbit","the earth",,,,,,,"auto"
"larger magnets","pick up","heavier metal objects",,,,,,,"auto"
"people","plant","forests",,,,,,,"auto"
"all the green plants","produce","food",,,,,,,"auto"
"certain plants","produce","seeds",,,,,,,"auto"
"female reproductive structures","produce","seeds",,,,,,,"auto"
"glucose","produce","energy",,,,,,,"auto"
"many perennials","produce","relatively large seeds",,,,,,,"auto"
