col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,partition_0
2925,gaining weight,is,bad,for health,NA,NA,NA,NA,NA,regents
2926,getting enough sleep,is,good,for health,NA,NA,NA,NA,NA,regents
2927,having asthma,is,bad,for health,NA,NA,NA,NA,NA,regents
2928,having fun,is,neutral,for health,NA,NA,NA,NA,NA,regents
2929,having headaches,is,bad,for health,NA,NA,NA,NA,NA,regents
2930,having lice,is,bad,for health,NA,NA,NA,NA,NA,regents
2931,having stress,is,bad,for health,NA,NA,NA,NA,NA,regents
2932,hurting,is,bad,for health,NA,NA,NA,NA,NA,regents
2933,inhaling cigarette smoke,is,bad,for health,NA,NA,NA,NA,NA,regents
2934,jogging,is,good,for health,NA,NA,NA,NA,NA,regents
2935,jumping jacks,is,good,for health,NA,NA,NA,NA,NA,regents
2936,jumping rope,is,good,for health,NA,NA,NA,NA,NA,regents
2937,kayaking,is,good,for health,NA,NA,NA,NA,NA,regents
2938,learning,is,neutral,for health,NA,NA,NA,NA,NA,regents
2939,lifting weights,is,good,for health,NA,NA,NA,NA,NA,regents
2940,listening to music,is,neutral,for health,NA,NA,NA,NA,NA,regents
2941,losing weight,is,good,for health,NA,NA,NA,NA,NA,regents
2942,moving,is,good,for health,NA,NA,NA,NA,NA,regents
2943,physical activity,is,good,for health,NA,NA,NA,NA,NA,regents
2944,playing badminton,is,good,for health,NA,NA,NA,NA,NA,regents
2945,playing baseball,is,good,for health,NA,NA,NA,NA,NA,regents
2946,playing basketball,is,good,for health,NA,NA,NA,NA,NA,regents
2947,playing computer,is,neutral,for health,NA,NA,NA,NA,NA,regents
2948,playing cricket,is,good,for health,NA,NA,NA,NA,NA,regents
2949,playing dodgeball,is,good,for health,NA,NA,NA,NA,NA,regents
2950,playing football,is,good,for health,NA,NA,NA,NA,NA,regents
2951,playing games,is,neutral,for health,NA,NA,NA,NA,NA,regents
2952,playing golf,is,good,for health,NA,NA,NA,NA,NA,regents
2953,playing handball,is,good,for health,NA,NA,NA,NA,NA,regents
2954,playing hockey,is,good,for health,NA,NA,NA,NA,NA,regents
2955,playing lacrosse,is,good,for health,NA,NA,NA,NA,NA,regents
2956,playing netball,is,good,for health,NA,NA,NA,NA,NA,regents
2957,playing rugby,is,good,for health,NA,NA,NA,NA,NA,regents
2958,playing soccer,is,good,for health,NA,NA,NA,NA,NA,regents
2959,playing softball,is,good,for health,NA,NA,NA,NA,NA,regents
2960,playing sport,is,good,for health,NA,NA,NA,NA,NA,regents
2961,playing sports,is,good,for health,NA,NA,NA,NA,NA,regents
2962,playing tennis,is,good,for health,NA,NA,NA,NA,NA,regents
2963,playing the piano,is,neutral,for health,NA,NA,NA,NA,NA,regents
2964,playing video games,is,neutral,for health,NA,NA,NA,NA,NA,regents
2965,playing videogames,is,neutral,for health,NA,NA,NA,NA,NA,regents
2966,playing volleyball,is,good,for health,NA,NA,NA,NA,NA,regents
2967,playing xbox,is,neutral,for health,NA,NA,NA,NA,NA,regents
2968,popping knuckles,is,bad,for health,NA,NA,NA,NA,NA,regents
2969,quiting smoking,is,good,for health,NA,NA,NA,NA,NA,regents
2970,quitting smoking,is,good,for health,NA,NA,NA,NA,NA,regents
2971,racing,is,good,for health,NA,NA,NA,NA,NA,regents
2972,reading books,is,neutral,for health,NA,NA,NA,NA,NA,regents
2973,reading literature,is,neutral,for health,NA,NA,NA,NA,NA,regents
2974,resting,is,good,for health,NA,NA,NA,NA,NA,regents
2975,riding,is,good,for health,NA,NA,NA,NA,NA,regents
2976,riding a bicycle,is,good,for health,NA,NA,NA,NA,NA,regents
2977,riding a bike,is,good,for health,NA,NA,NA,NA,NA,regents
2978,riding bike,is,good,for health,NA,NA,NA,NA,NA,regents
2979,riding bikes,is,good,for health,NA,NA,NA,NA,NA,regents
2980,running,is,neutral,for health,NA,NA,NA,NA,NA,regents
2981,shopping,is,neutral,for health,NA,NA,NA,NA,NA,regents
2982,singing,is,neutral,for health,NA,NA,NA,NA,NA,regents
2983,sitting,is,neutral,for health,NA,NA,NA,NA,NA,regents
2984,skipping breakfast,is,bad,for health,NA,NA,NA,NA,NA,regents
2985,skipping dinner,is,bad,for health,NA,NA,NA,NA,NA,regents
2986,skipping lunch,is,bad,for health,NA,NA,NA,NA,NA,regents
2987,skipping meals,is,bad,for health,NA,NA,NA,NA,NA,regents
2988,sleeping,is,good,for health,NA,NA,NA,NA,NA,regents
2989,sleeping well,is,good,for health,NA,NA,NA,NA,NA,regents
2990,smoking,is,bad,for health,NA,NA,NA,NA,NA,regents
2991,smoking cigarettes,is,bad,for health,NA,NA,NA,NA,NA,regents
2992,smoking tobacco,is,bad,for health,NA,NA,NA,NA,NA,regents
2993,sneezing,is,bad,for health,NA,NA,NA,NA,NA,regents
2994,snowboarding,is,good,for health,NA,NA,NA,NA,NA,regents
2995,standing,is,neutral,for health,NA,NA,NA,NA,NA,regents
2996,straightening hair,is,neutral,for health,NA,NA,NA,NA,NA,regents
2997,studying,is,neutral,for health,NA,NA,NA,NA,NA,regents
2998,surfing the internet,is,neutral,for health,NA,NA,NA,NA,NA,regents
2999,swimming,is,good,for health,NA,NA,NA,NA,NA,regents
3000,swimming activity,is,good,for health,NA,NA,NA,NA,NA,regents
3001,swmiming,is,good,for health,NA,NA,NA,NA,NA,regents
3002,taking a shower,is,neutral,for health,NA,NA,NA,NA,NA,regents
3003,taking antibiotics,is,good,for health,NA,NA,NA,NA,NA,regents
3004,taking aspirin,is,good,for health,NA,NA,NA,NA,NA,regents
3005,taking ibuprofen,is,good,for health,NA,NA,NA,NA,NA,regents
3006,taking iron supplement,is,good,for health,NA,NA,NA,NA,NA,regents
3007,taking medicine,is,good,for health,NA,NA,NA,NA,NA,regents
3008,taking penicillin,is,good,for health,NA,NA,NA,NA,NA,regents
3009,taking vitamins,is,good,for health,NA,NA,NA,NA,NA,regents
3010,talking,is,neutral,for health,NA,NA,NA,NA,NA,regents
3011,thinking,is,neutral,for health,NA,NA,NA,NA,NA,regents
3012,traveling,is,neutral,for health,NA,NA,NA,NA,NA,regents
3013,using a computer,is,neutral,for health,NA,NA,NA,NA,NA,regents
3014,using a telephone,is,neutral,for health,NA,NA,NA,NA,NA,regents
3015,using the computer,is,neutral,for health,NA,NA,NA,NA,NA,regents
3016,using the internet,is,neutral,for health,NA,NA,NA,NA,NA,regents
3017,using tobacco,is,bad,for health,NA,NA,NA,NA,NA,regents
3018,viewing television,is,neutral,for health,NA,NA,NA,NA,NA,regents
3019,viewing tv,is,neutral,for health,NA,NA,NA,NA,NA,regents
3020,walking,is,good,for health,NA,NA,NA,NA,NA,regents
3021,walking around,is,good,for health,NA,NA,NA,NA,NA,regents
3022,watching a video,is,neutral,for health,NA,NA,NA,NA,NA,regents
3023,watching movies,is,neutral,for health,NA,NA,NA,NA,NA,regents
3024,watching television,is,neutral,for health,NA,NA,NA,NA,NA,regents
3025,watching tv,is,neutral,for health,NA,NA,NA,NA,NA,regents
3026,watching videos,is,neutral,for health,NA,NA,NA,NA,NA,regents
3027,wearing contacts,is,neutral,for health,NA,NA,NA,NA,NA,regents
3028,wearing glasses,is,neutral,for health,NA,NA,NA,NA,NA,regents
3029,wearing helmets,is,good,for health,NA,NA,NA,NA,NA,regents
3030,working,is,neutral,for health,NA,NA,NA,NA,NA,regents
3031,worrying,is,bad,for health,NA,NA,NA,NA,NA,regents
3032,writing,is,neutral,for health,NA,NA,NA,NA,NA,regents
3033,writing a book,is,neutral,for health,NA,NA,NA,NA,NA,regents
3034,writing books,is,neutral,for health,NA,NA,NA,NA,NA,regents
3035,writing poetry,is,neutral,for health,NA,NA,NA,NA,NA,regents
3036,SENSE ORGAN Body part,NA,PHENOMENON Properties the sense detects,NA,ACTION Type of sensing,NA,NA,NA,NA,regents
3037,Eyes,can be used to detect,color; brightness; light; dark; shape; motion; distance; direction; texture; reflectivity; shine; dullness,by,looking; seeing; sight; vision,NA,NA,NA,NA,regents
3038,Hands; Skin,can be used to detect,texture; shape; temperature; hardness; roughness; softness; smoothness; flexibility; rigidity; size; dryness; wetness,by,touching; feeling,NA,NA,NA,NA,regents
3039,Ears,can be used to detect,sounds; volume; pitch; rising pitch; falling pitch; harmony; disharmony; voices; speech; accents; music; melodies; alarms; noise,by,hearing; listening,NA,NA,NA,NA,regents
3040,Noses,can be used to detect,odors; scents; aromas; decay; smells,by,smelling,NA,NA,NA,NA,regents
3041,Tongues,can be used to detect,flavors; saltiness; salt; salty; sweet; sweetness; sugar; sugary; sour; sourness; bitter; bitterness; umami; tastes,by,tasting,NA,NA,NA,NA,regents
3042,Material,Magnetic attractiveness,NA,NA,NA,NA,NA,NA,NA,regents
3043,wood,low magnetic attraction,NA,NA,NA,NA,NA,NA,NA,regents
3044,plastic,low magnetic attraction,NA,NA,NA,NA,NA,NA,NA,regents
3045,cardboard,low magnetic attraction,NA,NA,NA,NA,NA,NA,NA,regents
3046,metal,"high magnetic attraction for certain metals, especially alloys containing iron",NA,NA,NA,NA,NA,NA,NA,regents
3047,NA,WHOLE Organic whole system or organism,NA,PART Part or component of whole system or organism,PURPOSE Purpose or function of the part within the whole,NA,NA,NA,NA,regents
3048,In a(n),ecosystem; food chain; food web,", the",decomposer,returns nutrients to the food chain,NA,NA,NA,NA,regents
3049,In a(n),"ecosystem, food chain, food web",", the",predator,helps to limit population of prey; provides carbon dioxide for plants,NA,NA,NA,NA,regents
3050,In a(n),"ecosystem, food chain, food web",", the",prey,is food for predators,NA,NA,NA,NA,regents
3051,In a(n),"ecosystem, food chain, food web",", the",producer,is the source of food for all other organisms in the food chain; is the source of food for all other organisms in the food web,NA,NA,NA,NA,regents
3052,In a(n),plant,", the",roots,absorb water and nutrients from soil; provide structural support,NA,NA,NA,NA,regents
3053,In a(n),plant,", the",stem; stalk,provides structural support; transports nutrients,NA,NA,NA,NA,regents
3054,In a(n),plant,", the",leaves,absorb light energy; perform photosynthesis; produce sugar; produce starch; produce food; take in air,NA,NA,NA,NA,regents
3055,In a(n),plant,", the",flowers,aid in reproduction; produce seeds; produce pollen,NA,NA,NA,NA,regents
3056,In a(n),plant,", the",seeds,aid in reproduction,NA,NA,NA,NA,regents
3057,In a(n),plant,", the","fruit, fruits","provides nutrients for seed growth, aids seed distribution",NA,NA,NA,NA,regents
3058,In a(n),plant,", the",stamen,produces pollen,NA,NA,NA,NA,regents
3059,In a(n),plant,", the",pistil,"produces ovules, which become seeds",NA,NA,NA,NA,regents
3060,In a(n),plant,", the",pollen,transfers genetic material for pollenation,NA,NA,NA,NA,regents
3061,In a(n),plant,", the",chloroplast,converts sunlight into food for the plant,NA,NA,NA,NA,regents
3062,In a(n),plant,", the",petiole,attaches a leaf to the plant stem,NA,NA,NA,NA,regents
3063,In a(n),plant,", the",stomata,regulate the plant's intake of carbon,NA,NA,NA,NA,regents
3064,In a(n),mammal,", the",hair; fur,provides insulation; protects the skin; camouflages the animal,NA,NA,NA,NA,regents
3065,In a(n),mammal,", the",mammary glands,provide milk to nursing offspring,NA,NA,NA,NA,regents
3066,In a(n),mammal,", the",skin,protects internal organs and bones,NA,NA,NA,NA,regents
3067,In a(n),mammal,", the",skeletal system,provides support; work with the muscular system to allow the body to move,NA,NA,NA,NA,regents
3068,In a(n),mammal,", the",spine,supports the body,NA,NA,NA,NA,regents
3069,In a(n),mammal,", the",lungs,move oxygen into the bloodstream,NA,NA,NA,NA,regents
3070,In a(n),mammal,", the",claws; nails,help catch prey,NA,NA,NA,NA,regents
3071,In a(n),mammal,", the",mouth,takes in food; takes in oxygen,NA,NA,NA,NA,regents
3072,In a(n),mammal,", the",tail,helps the animal balance; swats away insects; helps the animal hold onto trees,NA,NA,NA,NA,regents
3073,In a(n),mammal,", the",nose,takes in oxygen,NA,NA,NA,NA,regents
3074,In a(n),amphibian,", the",webbed feet,make swimming easier,NA,NA,NA,NA,regents
3075,In a(n),amphibian,", the",gills,take in oxygen,NA,NA,NA,NA,regents
3076,In a(n),amphibian,", the",skin,absorbs water and oxygen,NA,NA,NA,NA,regents
3077,In a(n),amphibian,", the",poison glands,produce poison to harm predators,NA,NA,NA,NA,regents
3078,In a(n),amphibian,", the",spine,supports the body,NA,NA,NA,NA,regents
3079,In a(n),amphibian,", the",lungs,take in oxygen,NA,NA,NA,NA,regents
3080,In a(n),amphibian,", the",large hind legs,help with jumping and swimming,NA,NA,NA,NA,regents
3081,In a(n),amphibian,", the",tail,helps with swimming,NA,NA,NA,NA,regents
3082,In a(n),amphibian,", the",vocal sac,makes a mating call,NA,NA,NA,NA,regents
3083,In a(n),amphibian,", the",skeletal system,provides support; work with the muscular system to allow the body to move,NA,NA,NA,NA,regents
3084,In a(n),fish,", the",scales,to protect the fish,NA,NA,NA,NA,regents
3085,In a(n),fish,", the",eyes,to help the fish find food,NA,NA,NA,NA,regents
3086,In a(n),fish,", the",gills,to help the fish breathe,NA,NA,NA,NA,regents
3087,In a(n),fish,", the",dorsal fin,stabilizes the fish,NA,NA,NA,NA,regents
3088,In a(n),fish,", the",tail fin,helps with propulsion,NA,NA,NA,NA,regents
3089,In a(n),fish,", the",mouth,take in oxygen; take in food,NA,NA,NA,NA,regents
3090,In a(n),fish,", the",anal fin,stabilizes the fish,NA,NA,NA,NA,regents
3091,In a(n),fish,", the",swim bladder,helps maintain buoyancy,NA,NA,NA,NA,regents
3092,In a(n),fish,", the",lateral line,detects motion,NA,NA,NA,NA,regents
3093,In a(n),fish,", the",caudal keel,stabilizes the tail fin,NA,NA,NA,NA,regents
3094,In a(n),bird,", the",claws; talons,helps with obtaining food; helps with defense,NA,NA,NA,NA,regents
3095,In a(n),bird,", the",wings,help with moving through the air,NA,NA,NA,NA,regents
3096,In a(n),bird,", the",feathers,helps wings function efficiently,NA,NA,NA,NA,regents
3097,In a(n),bird,", the",eyes,"helps find food, avoid dangers",NA,NA,NA,NA,regents
3098,In a(n),bird,", the",tail,helps the bird change direction in flight,NA,NA,NA,NA,regents
3099,In a(n),bird,", the",hollow bones,helps with flying,NA,NA,NA,NA,regents
3100,In a(n),bird,", the",beak,takes in food; helps with grooming; helps to attack prey,NA,NA,NA,NA,regents
3101,In a(n),bird,", the",egg tooth,helps the bird break out of the egg,NA,NA,NA,NA,regents
3102,In a(n),bird,", the",air sacs,help the bird get oxygen,NA,NA,NA,NA,regents
3103,In a(n),bird,", the",webbed feet,help with moving through water,NA,NA,NA,NA,regents
3104,In a(n),reptile,", the",tongue,helps with smelling,NA,NA,NA,NA,regents
3105,In a(n),reptile,", the",scales,protect against predators,NA,NA,NA,NA,regents
3106,In a(n),reptile,", the",tail,helps with balance; can be detached to distract predators,NA,NA,NA,NA,regents
3107,In a(n),reptile,", the",fracture plane,detaching the tail to distract predators,NA,NA,NA,NA,regents
3108,In a(n),reptile,", the",vemorenasal organ; Jacobson's organ,helps with smelling,NA,NA,NA,NA,regents
3109,In a(n),reptile,", the",osteoderm,helps to regulate body temperature; helps with chemical regulation,NA,NA,NA,NA,regents
3110,In a(n),reptile,", the",plates,protect against predators,NA,NA,NA,NA,regents
3111,In a(n),reptile,", the",lungs,take in oxygen,NA,NA,NA,NA,regents
3112,In a(n),reptile,", the",eyes,help to find food,NA,NA,NA,NA,regents
3113,In a(n),reptile,", the",parietal eye,helps detect light and dark,NA,NA,NA,NA,regents
3114,In a(n),bacteria,", the",ribosomes,store genetic information,NA,NA,NA,NA,regents
3115,In a(n),bacteria,", the",mesosome,helps with respiration,NA,NA,NA,NA,regents
3116,In a(n),bacteria,", the",inclusions,store food; help with metabolism,NA,NA,NA,NA,regents
3117,In a(n),bacteria,", the",cytoplasm,contains cell structures,NA,NA,NA,NA,regents
3118,In a(n),bacteria,", the",cytoplasmic membrane,helps control the movement of materials in and out of the cell,NA,NA,NA,NA,regents
3119,In a(n),bacteria,", the",periplasmic space,helps control the movement of materials in and out of the cell,NA,NA,NA,NA,regents
3120,In a(n),bacteria,", the",cell wall,gives the cell its shape; protects the cell,NA,NA,NA,NA,regents
3121,In a(n),bacteria,", the",capsule ,protects the cell,NA,NA,NA,NA,regents
3122,In a(n),bacteria,", the",pilus,help the bacteria attach to host tissue,NA,NA,NA,NA,regents
3123,In a(n),bacteria,", the",flagellum,helps with movement,NA,NA,NA,NA,regents
3124,In a(n),fungi,", the",hyphae,take in nutrients; gives the fungi its shape,NA,NA,NA,NA,regents
3125,In a(n),fungi,", the",mycelium,help find nutrients,NA,NA,NA,NA,regents
3126,In a(n),fungi,", the",rhizomorphs,help the fungi expand,NA,NA,NA,NA,regents
3127,In a(n),fungi,", the",sporangium,produce spores,NA,NA,NA,NA,regents
3128,In a(n),fungi,", the",spores,assist with reproduction,NA,NA,NA,NA,regents
3129,In a(n),fungi,", the",basidiocarps,produce spores,NA,NA,NA,NA,regents
3130,In a(n),fungi,", the",septa,give the fungi its shape,NA,NA,NA,NA,regents
3131,In a(n),insect,", the",wings,helps with moving through the air,NA,NA,NA,NA,regents
3132,In a(n),insect,", the",compound eyes,help the insect find food; help the insect find predators,NA,NA,NA,NA,regents
3133,In a(n),insect,", the",antennae,help with smelling,NA,NA,NA,NA,regents
3134,In a(n),insect,", the",legs,help with walking,NA,NA,NA,NA,regents
3135,In a(n),insect,", the",exoskeleton,protects the insect,NA,NA,NA,NA,regents
3136,In a(n),insect,", the",pulvilli,help the insect cling to objects,NA,NA,NA,NA,regents
3137,In a(n),insect,", the",setae,help the insect cling to objects,NA,NA,NA,NA,regents
3138,In a(n),insect,", the",simple eyes; median ocelli,help the insect find food; help the insect find predators,NA,NA,NA,NA,regents
3139,In a(n),insect,", the",spiracles,take in oxygen,NA,NA,NA,NA,regents
3140,In a(n),insect,", the",Malphigian tubule system,helps with excretion,NA,NA,NA,NA,regents
3141,In a(n),invertebrate,", the",simple eyes; median ocelli,help the animal find food; help the animal find predators,NA,NA,NA,NA,regents
3142,In a(n),invertebrate,", the",cuticle,helps the animal maintain its shape,NA,NA,NA,NA,regents
3143,In a(n),invertebrate,", the",exoskeleton,protects the animal,NA,NA,NA,NA,regents
3144,In a(n),worm,", the",skin,takes in oxygen,NA,NA,NA,NA,regents
3145,In a(n),worm,", the",coelom,maintains the worm's structure,NA,NA,NA,NA,regents
3146,In a(n),worm,", the",setae,help the worm move by clinging to objects,NA,NA,NA,NA,regents
3147,In a(n),worm,", the",clitellum,produces egg capsules,NA,NA,NA,NA,regents
3148,In a(n),worm,", the",mouth,takes in food,NA,NA,NA,NA,regents
3149,In a(n),worm,", the",light cells of Hess,sense light and dark,NA,NA,NA,NA,regents
3150,In a(n),worm,", the",nephridia,helps with excretion,NA,NA,NA,NA,regents
3151,In a(n),worm,", the",spermathecae,store sperm,NA,NA,NA,NA,regents
3152,In a(n),worm,", the",cuticle,helps keep the body moist,NA,NA,NA,NA,regents
3153,In a(n),worm,", the",pharynx,helps take in food,NA,NA,NA,NA,regents
3154,NA,type of resource (renewable resource; nonrenewable resource),is,example,NA,NA,NA,NA,NA,monarch
3155,An example of a(n),renewable resource,is,alcohol; biodiesel,NA,NA,NA,NA,NA,monarch
3156,An example of a(n),renewable resource,is,algae,NA,NA,NA,NA,NA,monarch
3157,An example of a(n),renewable resource,is,biodiesel,NA,NA,NA,NA,NA,monarch
3158,An example of a(n),renewable resource,is,barley; ethanol,NA,NA,NA,NA,NA,monarch
3159,An example of a(n),renewable resource,is,bioplastic,NA,NA,NA,NA,NA,monarch
3160,An example of a(n),renewable resource,is,corn starch; bioplastic,NA,NA,NA,NA,NA,monarch
3161,An example of a(n),renewable resource,is,duckweed; ethanol,NA,NA,NA,NA,NA,monarch
3162,An example of a(n),renewable resource,is,geothermal energy,NA,NA,NA,NA,NA,monarch
3163,An example of a(n),renewable resource,is,hyropower,NA,NA,NA,NA,NA,monarch
3164,An example of a(n),renewable resource,is,microbiota; bioplastic,NA,NA,NA,NA,NA,monarch
3165,An example of a(n),renewable resource,is,nuclear power,NA,NA,NA,NA,NA,monarch
3166,An example of a(n),renewable resource,is,palm oil; biodiesel,NA,NA,NA,NA,NA,monarch
3167,An example of a(n),renewable resource,is,rapeseed oil; biodiesel,NA,NA,NA,NA,NA,monarch
3168,An example of a(n),renewable resource,is,solar energy,NA,NA,NA,NA,NA,monarch
3169,An example of a(n),renewable resource,is,sunflower oil; biodiesel,NA,NA,NA,NA,NA,monarch
3170,An example of a(n),renewable resource,is,switchgrass; ethanol,NA,NA,NA,NA,NA,monarch
3171,An example of a(n),renewable resource,is,vegetable oil; biodiesel; bioplastic,NA,NA,NA,NA,NA,monarch
3172,An example of a(n),renewable resource,is,wind energy; wind power,NA,NA,NA,NA,NA,monarch
3173,An example of a(n),renewable resource,is,wheat; ethanol,NA,NA,NA,NA,NA,monarch
3174,An example of a(n),nonrenewable resource,is,fossil fuels,NA,NA,NA,NA,NA,monarch
3175,An example of a(n),nonrenewable resource,is,petroleum; crude oil,NA,NA,NA,NA,NA,monarch
3176,An example of a(n),nonrenewable resource,is,ethane,NA,NA,NA,NA,NA,monarch
3177,An example of a(n),nonrenewable resource,is,methane,NA,NA,NA,NA,NA,monarch
3178,An example of a(n),nonrenewable resource,is,natural gas,NA,NA,NA,NA,NA,monarch
3179,An example of a(n),nonrenewable resource,is,coal,NA,NA,NA,NA,NA,monarch
3180,An example of a(n),nonrenewable resource,is,nuclear fuel,NA,NA,NA,NA,NA,monarch
3181,NA,ORBITAL TIME PERIOD,NA,EQUIVALENT EARTH DAYS,NA,NA,NA,NA,NA,regents
3182,One,day; Earth day; day and night,is equal to,1 day,on Earth,NA,NA,NA,NA,regents
3183,One,week; Earth week,is equal to,7 days,on Earth,NA,NA,NA,NA,regents
3184,One,month; Earth month,is equal to,30.44 days,on Earth,NA,NA,NA,NA,regents
3185,One,year; Earth year,is equal to,365.24 days,on Earth,NA,NA,NA,NA,regents
3186,One,Moon year; lunar year,is equal to,29.5 days,on Earth,NA,NA,NA,NA,regents
3187,One,Moon day; lunar day,is equal to,29.5 days,on Earth,NA,NA,NA,NA,regents
3188,NA,lab equipment,NA,purpose,NA,NA,NA,NA,NA,monarch
3189,A(n),notebook,is used to,record observations,NA,NA,NA,NA,NA,monarch
3190,A(n),Bunsen burner; hot plate,is used to,heat materials; sterilize materials,NA,NA,NA,NA,NA,monarch
3191,A(n),pencil; pen,is used to,write observations; draw graphs,NA,NA,NA,NA,NA,monarch
3192,A(n),ruler; meter stick; measuring tape,is used to,measure the length of an object,NA,NA,NA,NA,NA,monarch
3193,A(n),pair of goggles,is used to,protect one's eyes from chemicals and fumes,NA,NA,NA,NA,NA,monarch
3194,A(n),fire extinguisher,is used to,put out fires,NA,NA,NA,NA,NA,monarch
3195,A(n),triple beam balance; scale; balance; spring scale,is used to,find the weight of an object,NA,NA,NA,NA,NA,monarch
3196,A(n),magnifying glass; microscope,is used to,make small objects appear larger,NA,NA,NA,NA,NA,monarch
3197,A(n),match,is used to,lighting a flame; setting an object on fire,NA,NA,NA,NA,NA,monarch
3198,A(n),compass,is used to,determine direction; orient the user; navigate,NA,NA,NA,NA,NA,monarch
3199,A(n),glove,is used to,protect one's hand from chemicals and heat,NA,NA,NA,NA,NA,monarch
3200,A(n),magnet,is used to,determine magnetism,NA,NA,NA,NA,NA,monarch
3201,A(n),timer; stopwatch; watch; clock,is used to,keep time; time an event,NA,NA,NA,NA,NA,monarch
3202,A(n),beaker,is used to,measure liquid; mixing liquids; heating liquids,NA,NA,NA,NA,NA,monarch
3203,A(n),collecting net,is used to,collect specimens,NA,NA,NA,NA,NA,monarch
3204,NA,force type,NA,effects,NA,NA,NA,NA,NA,monarch
3205,A(n),frictional force,causes,heat; objects to slow down; smoke,NA,NA,NA,NA,NA,monarch
3206,A(n),normal force,causes,solid objects to have structural integrity,NA,NA,NA,NA,NA,monarch
3207,A(n),gravitational force,causes,objects to fall; objects to orbit one another,NA,NA,NA,NA,NA,monarch
3208,A(n),electromagnetic force,causes,charges to be attracted; charges to be repelled,NA,NA,NA,NA,NA,monarch
3209,A(n),strong nuclear force,causes,atomic nuclei to have structural integrity,NA,NA,NA,NA,NA,monarch
3210,A(n),weak nuclear force,causes,nucleons to decay,NA,NA,NA,NA,NA,monarch
3211,A(n),elastic force,causes,objects to revert to their original state after being deformed,NA,NA,NA,NA,NA,monarch
3212,A(n),centripetal force,causes,objects to follow a curved path,NA,NA,NA,NA,NA,monarch
3213,NA,Organ name,Function,NA,NA,NA,NA,NA,NA,monarch
3214,The,brain,regulates muscle activity; secretes hormones,NA,NA,NA,NA,NA,NA,monarch
3215,The,thyroid,controls the body's rate of energy use; controls sensitivity to hormones,NA,NA,NA,NA,NA,NA,monarch
3216,The,eyes,see,NA,NA,NA,NA,NA,NA,monarch
3217,The,skin,protects the body; regulates temperature,NA,NA,NA,NA,NA,NA,monarch
3218,The,lungs,takes in oxygen for respiration,NA,NA,NA,NA,NA,NA,monarch
3219,The,heart,pumps blood throughout the body,NA,NA,NA,NA,NA,NA,monarch
3220,The,liver,detoxifies substances in the body; produces proteins; produces chemicals needed for digestion,NA,NA,NA,NA,NA,NA,monarch
3221,The,pancreas,produces insulin; secretes digestive enzymes,NA,NA,NA,NA,NA,NA,monarch
3222,The,stomach,secretes enzymes that aid in digestion,NA,NA,NA,NA,NA,NA,monarch
3223,The,spleen,filters blood; holds a reserve of blood,NA,NA,NA,NA,NA,NA,monarch
3224,The,kidney,produce urine; filter blood; remove water-soluble wastes; reabsorb water; reabsorb amino acids; reabsorb glucose,NA,NA,NA,NA,NA,NA,monarch
3225,The,bones,support and protect organs; produce blood cells,NA,NA,NA,NA,NA,NA,monarch
3226,The,muscle,move the body; move internal organs,NA,NA,NA,NA,NA,NA,monarch
3227,The,colon,aids in digestion; produces feces; absorbs water,NA,NA,NA,NA,NA,NA,monarch
3228,The,esophagus,moves food to the stomach,NA,NA,NA,NA,NA,NA,monarch
3229,The,veins,carry blood to the heart,NA,NA,NA,NA,NA,NA,monarch
3230,The,arteries,carry blood away from the heart,NA,NA,NA,NA,NA,NA,monarch
3231,The,nerves,carry messages from the brain to the rest of the body,NA,NA,NA,NA,NA,NA,monarch
3232,The,small intestine,absorbs nutrients and minerals from food,NA,NA,NA,NA,NA,NA,monarch
3233,The,blood,carries nutrients and oxygen to cells; carries waste away from cells,NA,NA,NA,NA,NA,NA,monarch
3234,The,circulatory system,delivers blood throughout the body; delivers nutrients throughout the body,NA,NA,NA,NA,NA,NA,monarch
3235,The,nervous system,receives and interprets stimuli; transmits impulses to organs,NA,NA,NA,NA,NA,NA,monarch
3236,The,digestive system,gets nutrients and energy from food,NA,NA,NA,NA,NA,NA,monarch
3237,The,endocrine system,"regulates, coordinates, and controls body functions by secreting chemicals into the bloodstream",NA,NA,NA,NA,NA,NA,monarch
3238,The,integumentary system,protects the body; retains bodily fluids; regulates temperature,NA,NA,NA,NA,NA,NA,monarch
3239,The,muscular system,moves the body,NA,NA,NA,NA,NA,NA,monarch
3240,The,reproductive system,is responsible for creating offspring,NA,NA,NA,NA,NA,NA,monarch
3241,The,respiratory system,supplies the blood with oxygen,NA,NA,NA,NA,NA,NA,monarch
3242,The,skeletal system,provides support; work with the muscular system to allow the body to move,NA,NA,NA,NA,NA,NA,monarch
3243,The,urinary system,filters out excess fluid and other substances from your bloodstream; produces urine,NA,NA,NA,NA,NA,NA,monarch
3244,The,excretory system,discharges waste from the body,NA,NA,NA,NA,NA,NA,monarch
3245,Abstract concept,Concrete example of concept,NA,NA,NA,NA,NA,NA,NA,regents
3246,measurement,a student poured water into a graduated cylinder and recorded the number of milliliters,NA,NA,NA,NA,NA,NA,NA,regents
3247,prediction,a student predicted that mixing two clear liquids would produce a green liquid,NA,NA,NA,NA,NA,NA,NA,regents
3248,explanation,a student explained how certain chemical reactions can cause the color of a liquid to change,NA,NA,NA,NA,NA,NA,NA,regents
